FG_number;FG_name;code 
1;cation ;000000T2 
2;anion ;000000T1 
3;carbonyl compound ;C2O10000 
4;aldehyde ;C2O1H000 
5;ketone ;C2O1C000 
6;thiocarbonyl compound ;C2S10000 
7;thioaldehyde ;C2S1H000 
8;thioketone ;C2S1C000 
9;imine ;C2N10000 
10;hydrazone ;C2N1N000 
11;semicarbazone ;C2NNC4ON 
12;thiosemicarbazone ;C2NNC4SN 
13;oxime ;C2N1OH00 
14;oxime ether ;C2N1OC00 
15;ketene ;C3OC0000 
16;ketene acetal derivative ;C3OCC000 
17;carbonyl hydrate ;C2O2H200 
18;hemiacetal ;C2O2HC00 
19;acetal ;C2O2CC00 
20;hemiaminal ;C2NOHC10 
21;aminal ;C2N2CC10 
22;thiohemiaminal ;C2NSHC10 
23;thioacetal ;C2S2CC00 
24;enamine ;C2CNH000 
25;enol ;C2COH000 
26;enolether ;C2COC000 
27;hydroxy compound ;O1H00000 
28;alcohol ;O1H0C000 
29;prim. alcohol ;O1H1C000 
30;sec. alcohol ;O1H2C000 
31;tert. alcohol ;O1H3C000 
32;1,2-diol ;O1H0CO1H 
33;1,2-aminoalcohol ;O1H0CN1C 
34;phenol ;O1H1A000 
35;1,2-diphenol ;O1H2A000 
36;enediol ;C2COH200 
37;ether ;O1C00000 
38;dialkylether ;O1C0CC00 
39;alkylarylether ;O1C0CA00 
40;diarylether ;O1C0AA00 
41;thioether ;S1C00000 
42;disulfide ;S1S1C000 
43;peroxide ;O1O1C000 
44;hydroperoxide ;O1O1H000 
45;hydrazine derivative ;N1N10000 
46;hydroxylamine ;N1O1H000 
47;amine ;N1C00000 
48;prim. amine ;N1C10000 
49;prim. aliphat. amine ;N1C1C000 
50;prim. aromat. amine ;N1C1A000 
51;sec. amine ;N1C20000 
52;sec. aliphat. amine ;N1C2CC00 
53;sec. mixed amine (aryl alkyl) ;N1C2AC00 
54;sec. aromat. amine ;N1C2AA00 
55;tert. amine ;N1C30000 
56;tert. aliphat. amine ;N1C3CC00 
57;tert. mixed amine ;N1C3AC00 
58;tert. arom_amine ;N1C3AA00 
59;quaternary ammonium salt ;N1C400T2 
60;N-oxide ;N0O10000 
61;halogen deriv. ;XX000000 
62;alkyl halide ;XX00C000 
63;alkyl fluoride ;XF00C000 
64;alkyl chloride ;XC00C000 
65;alkyl bromide ;XB00C000 
66;alkyl iodide ;XI00C000 
67;aryl halide ;XX00A000 
68;aryl fluoride ;XF00A000 
69;aryl chloride ;XC00A000 
70;aryl bromide ;XB00A000 
71;aryl iodide ;XI00A000 
72;organometallic compound ;000000MX 
73;organolithium compound ;000000ML 
74;organomagnesium compoun;d 000000MM 
75;carboxylic acid deriv. ;C3O20000 
76;carboxylic acid ;C3O2H000 
77;carboxylic acid salt ;C3O200T1 
78;carboxylic acid ester ;C3O2C000 
79;lactone ;C3O2CZ00 
80;carboxylic acid amide ;C3ONC000 
81;carboxylic acid prim. amide ;C3ONC100 
82;carboxylic acid sec. amide ;C3ONC200 
83;carboxylic acid tert. amide ;C3ONC300 
84;lactam ;C3ONCZ00 
85;carboxylic acid hydrazide ;C3ONN100 
86;carboxylic acid azide ;C3ONN200 
87;hydroxamic acid ;C3ONOH00 
88;carboxylic acid amidine ;C3N2H000 
